Month,global,European
197901,-0.4216,-2.9582
197902,-0.6878,-2.0271
197903,-0.4864,-0.6581
197904,-0.5085,-2.4059
197905,-0.4468,-0.2602
197906,-0.4319,0.0231
197907,-0.4977,-2.2181
197908,-0.4096,-1.476
197909,-0.3763,-0.768
197910,-0.3647,-1.7297
197911,-0.3844,-0.7348
197912,-0.1322,0.3291
198001,-0.2991,-3.1624
198002,-0.2486,-1.2248
198003,-0.2768,-2.8106
198004,-0.1841,-1.6799
198005,-0.0914,-2.5751
198006,-0.2538,-0.7283
198007,-0.2096,-1.7777
198008,-0.2845,-1.4789
198009,-0.3678,-0.5416
198010,-0.4559,-0.9649
198011,-0.4294,-1.8921
198012,-0.4725,-1.1336
198101,-0.1736,-1.0816
198102,-0.2497,-1.1621
198103,-0.1637,-0.5918
198104,-0.2131,-1.8275
198105,-0.23,-0.7392
198106,-0.2494,-0.4494
198107,-0.2417,-1.1294
198108,-0.2363,-1.423
198109,-0.336,-0.2419
198110,-0.419,0.2448
198111,-0.4251,-1.0186
198112,-0.2348,-1.4608
198201,-0.5768,-2.0211
198202,-0.4882,-1.3046
198203,-0.6373,-0.6829
198204,-0.5377,-1.4838
198205,-0.3721,-0.8246
198206,-0.4202,-1.4652
198207,-0.3382,-0.9379
198208,-0.4539,-1.1196
198209,-0.4655,0.3367
198210,-0.5202,-0.6196
198211,-0.5208,0.1286
198212,-0.2331,0.7602
198301,-0.1511,1.138
198302,-0.1932,-1.8784
198303,-0.1882,-0.3653
198304,-0.2767,0.2157
198305,-0.1333,-0.1066
198306,-0.2659,-1.1352
198307,-0.3167,-0.2118
198308,-0.2498,-1.3817
198309,-0.197,0.1041
198310,-0.4755,-0.4621
198311,-0.3541,-1.3102
198312,-0.424,-0.6316
198401,-0.4018,0.0642
198402,-0.5577,-1.0341
198403,-0.3927,-2.0954
198404,-0.4691,-0.6237
198405,-0.2149,-0.4492
198406,-0.506,-1.6607
198407,-0.532,-1.7671
198408,-0.4386,-1.8316
198409,-0.4861,-0.6977
198410,-0.5222,0.2618
198411,-0.6527,-0.5612
198412,-0.6033,-1.1718
198501,-0.4222,-5.0092
198502,-0.6948,-5.5754
198503,-0.5307,-2.2368
198504,-0.4727,-1.1056
198505,-0.437,-0.4542
198506,-0.4665,-1.6258
198507,-0.5358,-1.3671
198508,-0.3943,-0.5205
198509,-0.5209,-0.6771
198510,-0.647,-0.3035
198511,-0.594,-2.0546
198512,-0.5459,-1.1158
198601,-0.4323,-1.0109
198602,-0.3784,-4.3858
198603,-0.4128,-0.543
198604,-0.2999,-1.0371
198605,-0.2694,0.0392
198606,-0.4481,-0.1435
198607,-0.4486,-1.2211
198608,-0.4373,-1.226
198609,-0.5269,-1.6142
198610,-0.5941,-0.3739
198611,-0.5014,-0.1196
198612,-0.4472,-2.1717
198701,-0.3328,-5.8849
198702,-0.2893,-1.0799
198703,-0.4813,-4.3874
198704,-0.3342,-1.3908
198705,-0.2729,-1.6973
198706,-0.1913,-1.2596
198707,-0.0893,-1.1558
198708,-0.2709,-2.1317
198709,-0.2241,-0.0206
198710,-0.3465,-0.1871
198711,-0.3733,-0.9094
198712,-0.126,-0.6333
198801,-0.1308,0.7625
198802,-0.3332,-0.1037
198803,-0.192,-1.2021
198804,-0.189,-1.4496
198805,-0.1025,0.026
198806,-0.1569,-0.5069
198807,-0.1974,0.1113
198808,-0.1666,-0.8088
198809,-0.1873,-0.3228
198810,-0.3518,-0.618
198811,-0.569,-3.198
198812,-0.3697,-1.0026
198901,-0.5959,1.2666
198902,-0.3369,2.196
198903,-0.3573,1.987
198904,-0.315,0.2843
198905,-0.4074,-0.0048
198906,-0.4064,-0.4277
198907,-0.2378,-0.6297
198908,-0.3217,-0.6923
198909,-0.283,-0.1653
198910,-0.3751,-0.1748
198911,-0.4901,-0.8227
198912,-0.24,-0.1436
199001,-0.2298,0.0773
199002,-0.275,3.9786
199003,0.0729,1.883
199004,-0.0524,-0.3705
199005,-0.0167,-0.4939
199006,-0.1845,-1.1315
199007,-0.0782,-1.1347
199008,-0.1662,-0.7769
199009,-0.2305,-1.3806
199010,-0.1585,0.0985
199011,-0.1206,-0.1733
199012,-0.1496,-0.2222
199101,-0.1655,-0.006
199102,-0.1227,-2.5012
199103,-0.2529,0.1156
199104,-0.1228,-1.163
199105,-0.1768,-2.456
199106,0.0278,-1.1657
199107,-0.0479,-0.298
199108,-0.1398,-0.3849
199109,-0.2019,-0.2057
199110,-0.3486,-0.5688
199111,-0.3583,-0.0844
199112,-0.3371,-1.0459
199201,-0.21,-0.0584
199202,-0.2507,0.2654
199203,-0.2471,0.3125
199204,-0.4196,-1.5106
199205,-0.3387,-0.216
199206,-0.3228,-0.7901
199207,-0.4619,-1.2962
199208,-0.4884,0.1284
199209,-0.6091,-0.4576
199210,-0.6017,-2.5215
199211,-0.6179,-0.8612
199212,-0.4633,-0.3436
199301,-0.3074,0.4574
199302,-0.3085,-0.6489
199303,-0.3637,-1.1061
199304,-0.326,-0.6873
