Year,JRA-55 (degC),JRA-55 uncertainty
1958,0.41,
1959,0.35,
1960,0.33,
1961,0.35,
1962,0.34,
1963,0.34,
1964,0.14,
1965,0.22,
1966,0.25,
1967,0.25,
1968,0.22,
1969,0.37,
1970,0.32,
1971,0.20,
1972,0.31,
1973,0.41,
1974,0.14,
1975,0.20,
1976,0.09,
1977,0.37,
1978,0.31,
1979,0.42,
1980,0.55,
1981,0.59,
1982,0.40,
1983,0.58,
1984,0.40,
1985,0.37,
1986,0.46,
1987,0.60,
1988,0.63,
1989,0.52,
1990,0.71,
1991,0.66,
1992,0.47,
1993,0.51,
1994,0.58,
1995,0.75,
1996,0.62,
1997,0.73,
1998,0.93,
1999,0.68,
2000,0.68,
2001,0.81,
2002,0.92,
2003,0.87,
2004,0.78,
2005,0.96,
2006,0.91,
2007,0.91,
2008,0.76,
2009,0.90,
2010,0.98,
2011,0.86,
2012,0.91,
2013,0.94,
2014,0.98,
2015,1.12,
2016,1.30,
2017,1.17,
2018,1.08,
2019,1.24,
2020,1.23,
2021,1.08,
