Year,Berkeley Earth Land (degC),Berkeley Earth Land uncertainty
1850,-1.43,1.695
1851,-1.15,1.667
1852,-1.26,1.466
1853,-1.26,1.639
1854,-1.07,1.582
1855,-1.14,1.595
1856,-1.24,1.578
1857,-1.49,1.492
1858,-1.09,1.352
1859,-0.91,1.305
1860,-1.31,1.225
1861,-1.37,1.298
1862,-1.74,1.357
1863,-1.10,1.432
1864,-1.27,1.366
1865,-1.05,1.193
1866,-0.93,1.259
1867,-0.78,1.255
1868,-1.06,1.151
1869,-0.79,1.260
1870,-1.11,1.149
1871,-1.22,1.169
1872,-1.14,1.150
1873,-0.97,1.017
1874,-0.84,1.053
1875,-1.36,0.931
1876,-1.13,0.911
1877,-0.73,0.939
1878,-0.36,0.907
1879,-1.06,0.873
1880,-1.18,0.842
1881,-0.94,0.863
1882,-1.09,0.772
1883,-1.19,0.809
1884,-1.39,0.767
1885,-1.23,0.798
1886,-1.23,0.758
1887,-1.26,0.738
1888,-1.05,0.719
1889,-0.86,0.668
1890,-1.24,0.728
1891,-1.17,0.694
1892,-1.13,0.711
1893,-1.14,0.648
1894,-1.01,0.647
1895,-1.01,0.628
1896,-0.96,0.632
1897,-0.87,0.636
1898,-1.01,0.611
1899,-0.76,0.626
1900,-0.65,0.609
1901,-0.65,0.580
1902,-0.90,0.570
1903,-0.97,0.551
1904,-1.11,0.550
1905,-0.95,0.576
1906,-0.80,0.527
1907,-1.22,0.542
1908,-1.01,0.554
1909,-1.01,0.564
1910,-0.97,0.539
1911,-1.02,0.530
1912,-1.04,0.510
1913,-0.90,0.527
1914,-0.59,0.526
1915,-0.63,0.526
1916,-0.98,0.515
1917,-1.21,0.533
1918,-1.09,0.511
1919,-0.85,0.511
1920,-0.89,0.521
1921,-0.68,0.503
1922,-0.85,0.518
1923,-0.84,0.520
1924,-0.77,0.497
1925,-0.74,0.499
1926,-0.56,0.503
1927,-0.77,0.499
1928,-0.66,0.500
1929,-1.07,0.514
1930,-0.69,0.523
1931,-0.59,0.486
1932,-0.61,0.500
1933,-0.96,0.490
1934,-0.69,0.492
1935,-0.81,0.482
1936,-0.77,0.479
1937,-0.61,0.480
1938,-0.43,0.490
1939,-0.52,0.481
1940,-0.53,0.471
1941,-0.54,0.466
1942,-0.57,0.467
1943,-0.53,0.458
1944,-0.44,0.452
1945,-0.71,0.449
1946,-0.61,0.444
1947,-0.49,0.441
1948,-0.55,0.420
1949,-0.71,0.419
1950,-0.91,0.370
1951,-0.65,0.362
1952,-0.63,0.429
1953,-0.40,0.436
1954,-0.71,0.392
1955,-0.64,0.306
1956,-0.99,0.179
1957,-0.60,0.270
1958,-0.51,0.191
1959,-0.52,0.195
1960,-0.69,0.191
1961,-0.47,0.206
1962,-0.53,0.203
1963,-0.41,0.175
1964,-0.88,0.162
1965,-0.74,0.151
1966,-0.66,0.168
1967,-0.56,0.156
1968,-0.76,0.171
1969,-0.67,0.176
1970,-0.55,0.188
1971,-0.65,0.160
1972,-0.76,0.179
1973,-0.28,0.166
1974,-0.77,0.221
1975,-0.49,0.167
1976,-0.88,0.220
1977,-0.36,0.191
1978,-0.52,0.166
1979,-0.51,0.143
1980,-0.24,0.234
1981,-0.07,0.162
1982,-0.57,0.147
1983,-0.18,0.167
1984,-0.53,0.162
1985,-0.56,0.187
1986,-0.36,0.149
1987,-0.21,0.140
1988,-0.00,0.150
1989,-0.28,0.205
1990,0.02,0.176
1991,-0.02,0.132
1992,-0.39,0.194
1993,-0.34,0.154
1994,-0.17,0.131
1995,0.14,0.137
1996,-0.18,0.109
1997,-0.03,0.116
1998,0.31,0.134
1999,0.06,0.112
2000,-0.02,0.116
2001,0.19,0.112
2002,0.36,0.128
2003,0.30,0.122
2004,0.11,0.130
2005,0.50,0.122
2006,0.32,0.115
2007,0.52,0.125
2008,0.23,0.108
2009,0.32,0.139
2010,0.49,0.130
2011,0.32,0.127
2012,0.27,0.159
2013,0.39,0.132
2014,0.36,0.144
2015,0.62,0.148
2016,0.83,0.141
2017,0.70,0.149
2018,0.54,0.167
2019,0.74,0.158
2020,0.90,0.136
2021,0.64,0.125
2022,0.70,0.169
