Year,CRUTEM5 (degC),CRUTEM5 uncertainty
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,-1.03,0.454
1858,-0.98,0.432
1859,-0.70,0.428
1860,-1.15,0.436
1861,-0.89,0.434
1862,-1.11,0.435
1863,-0.71,0.442
1864,-1.23,0.436
1865,-0.85,0.433
1866,-0.85,0.412
1867,-1.05,0.408
1868,-0.87,0.402
1869,-0.84,0.391
1870,-1.01,0.381
1871,-1.12,0.380
1872,-0.81,0.367
1873,-0.86,0.355
1874,-0.93,0.355
1875,-1.27,0.335
1876,-0.97,0.336
1877,-0.71,0.339
1878,-0.50,0.337
1879,-1.03,0.330
1880,-0.86,0.330
1881,-0.90,0.320
1882,-0.79,0.315
1883,-1.06,0.311
1884,-1.19,0.310
1885,-1.17,0.309
1886,-1.01,0.312
1887,-1.07,0.310
1888,-1.07,0.307
1889,-0.74,0.309
1890,-0.92,0.307
1891,-1.00,0.307
1892,-1.07,0.308
1893,-1.14,0.305
1894,-0.93,0.300
1895,-1.03,0.302
1896,-0.85,0.301
1897,-0.78,0.299
1898,-0.86,0.297
1899,-0.80,0.299
1900,-0.67,0.295
1901,-0.64,0.289
1902,-0.87,0.284
1903,-0.90,0.282
1904,-1.01,0.279
1905,-0.87,0.277
1906,-0.66,0.271
1907,-1.07,0.268
1908,-0.92,0.263
1909,-0.88,0.263
1910,-0.81,0.261
1911,-0.90,0.258
1912,-0.91,0.251
1913,-0.79,0.247
1914,-0.54,0.240
1915,-0.54,0.235
1916,-0.83,0.233
1917,-1.13,0.234
1918,-0.89,0.235
1919,-0.76,0.235
1920,-0.72,0.224
1921,-0.57,0.218
1922,-0.72,0.212
1923,-0.73,0.208
1924,-0.78,0.205
1925,-0.68,0.204
1926,-0.53,0.199
1927,-0.69,0.199
1928,-0.61,0.195
1929,-0.94,0.189
1930,-0.59,0.187
1931,-0.56,0.184
1932,-0.55,0.179
1933,-0.79,0.170
1934,-0.51,0.166
1935,-0.64,0.161
1936,-0.60,0.161
1937,-0.52,0.162
1938,-0.33,0.158
1939,-0.48,0.154
1940,-0.52,0.151
1941,-0.51,0.144
1942,-0.52,0.136
1943,-0.47,0.132
1944,-0.38,0.130
1945,-0.60,0.125
1946,-0.57,0.121
1947,-0.49,0.117
1948,-0.48,0.113
1949,-0.59,0.113
1950,-0.78,0.108
1951,-0.58,0.103
1952,-0.53,0.101
1953,-0.34,0.101
1954,-0.62,0.101
1955,-0.66,0.099
1956,-0.90,0.094
1957,-0.54,0.090
1958,-0.42,0.089
1959,-0.45,0.086
1960,-0.53,0.084
1961,-0.42,0.084
1962,-0.44,0.083
1963,-0.44,0.082
1964,-0.75,0.082
1965,-0.69,0.082
1966,-0.59,0.081
1967,-0.55,0.082
1968,-0.67,0.082
1969,-0.58,0.081
1970,-0.51,0.081
1971,-0.67,0.080
1972,-0.69,0.081
1973,-0.32,0.081
1974,-0.74,0.081
1975,-0.53,0.080
1976,-0.81,0.080
1977,-0.38,0.080
1978,-0.51,0.080
1979,-0.42,0.080
1980,-0.33,0.081
1981,-0.16,0.082
1982,-0.48,0.082
1983,-0.14,0.083
1984,-0.50,0.084
1985,-0.50,0.082
1986,-0.36,0.083
1987,-0.20,0.084
1988,-0.10,0.085
1989,-0.23,0.083
1990,0.03,0.082
1991,-0.09,0.087
1992,-0.38,0.086
1993,-0.29,0.085
1994,-0.14,0.088
1995,0.10,0.086
1996,-0.23,0.086
1997,0.02,0.085
1998,0.38,0.086
1999,0.09,0.087
2000,0.01,0.088
2001,0.20,0.087
2002,0.30,0.087
2003,0.30,0.087
2004,0.19,0.087
2005,0.40,0.089
2006,0.35,0.088
2007,0.44,0.090
2008,0.22,0.091
2009,0.28,0.092
2010,0.47,0.093
2011,0.26,0.092
2012,0.31,0.095
2013,0.38,0.097
2014,0.42,0.098
2015,0.71,0.100
2016,0.84,0.100
2017,0.70,0.102
2018,0.51,0.102
2019,0.71,0.111
2020,0.85,0.112
2021,0.51,0.290
