Year,HadSST4 (degC),HadSST4 uncertainty
1850,-0.60,0.226
1851,-0.48,0.228
1852,-0.47,0.217
1853,-0.50,0.192
1854,-0.56,0.178
1855,-0.53,0.176
1856,-0.59,0.169
1857,-0.72,0.171
1858,-0.69,0.180
1859,-0.57,0.177
1860,-0.53,0.185
1861,-0.65,0.207
1862,-0.69,0.206
1863,-0.62,0.208
1864,-0.66,0.188
1865,-0.50,0.197
1866,-0.50,0.200
1867,-0.49,0.197
1868,-0.50,0.215
1869,-0.57,0.186
1870,-0.51,0.163
1871,-0.52,0.172
1872,-0.53,0.163
1873,-0.58,0.161
1874,-0.68,0.164
1875,-0.53,0.164
1876,-0.63,0.168
1877,-0.31,0.168
1878,-0.29,0.167
1879,-0.49,0.155
1880,-0.49,0.149
1881,-0.44,0.153
1882,-0.50,0.146
1883,-0.54,0.138
1884,-0.64,0.132
1885,-0.63,0.134
1886,-0.64,0.129
1887,-0.71,0.131
1888,-0.54,0.130
1889,-0.46,0.136
1890,-0.73,0.147
1891,-0.57,0.154
1892,-0.71,0.156
1893,-0.71,0.156
1894,-0.73,0.153
1895,-0.64,0.150
1896,-0.45,0.144
1897,-0.49,0.148
1898,-0.73,0.150
1899,-0.61,0.151
1900,-0.52,0.154
1901,-0.65,0.152
1902,-0.74,0.149
1903,-0.86,0.149
1904,-0.89,0.152
1905,-0.72,0.149
1906,-0.67,0.151
1907,-0.76,0.143
1908,-0.86,0.138
1909,-0.88,0.129
1910,-0.87,0.129
1911,-0.88,0.125
1912,-0.74,0.124
1913,-0.77,0.111
1914,-0.63,0.124
1915,-0.52,0.138
1916,-0.70,0.139
1917,-0.75,0.153
1918,-0.70,0.161
1919,-0.66,0.156
1920,-0.57,0.147
1921,-0.55,0.142
1922,-0.63,0.136
1923,-0.61,0.130
1924,-0.60,0.131
1925,-0.56,0.129
1926,-0.43,0.131
1927,-0.51,0.126
1928,-0.54,0.130
1929,-0.61,0.127
1930,-0.46,0.129
1931,-0.40,0.129
1932,-0.48,0.127
1933,-0.55,0.130
1934,-0.50,0.128
1935,-0.50,0.123
1936,-0.47,0.117
1937,-0.33,0.119
1938,-0.41,0.122
1939,-0.39,0.137
1940,-0.30,0.150
1941,-0.29,0.293
1942,-0.24,0.308
1943,-0.25,0.310
1944,-0.09,0.302
1945,-0.10,0.307
1946,-0.37,0.221
1947,-0.44,0.210
1948,-0.42,0.203
1949,-0.40,0.157
1950,-0.41,0.137
1951,-0.31,0.124
1952,-0.22,0.123
1953,-0.21,0.127
1954,-0.40,0.126
1955,-0.48,0.123
1956,-0.49,0.117
1957,-0.29,0.110
1958,-0.26,0.106
1959,-0.32,0.103
1960,-0.36,0.097
1961,-0.32,0.086
1962,-0.37,0.082
1963,-0.32,0.083
1964,-0.53,0.079
1965,-0.49,0.081
1966,-0.38,0.080
1967,-0.44,0.073
1968,-0.44,0.071
1969,-0.28,0.068
1970,-0.38,0.060
1971,-0.54,0.059
1972,-0.31,0.057
1973,-0.28,0.058
1974,-0.44,0.062
1975,-0.44,0.062
1976,-0.42,0.065
1977,-0.21,0.062
1978,-0.26,0.061
1979,-0.14,0.050
1980,-0.15,0.057
1981,-0.17,0.058
1982,-0.19,0.068
1983,-0.09,0.066
1984,-0.23,0.066
1985,-0.24,0.064
1986,-0.21,0.063
1987,-0.06,0.063
1988,-0.08,0.064
1989,-0.12,0.065
1990,0.01,0.066
1991,-0.02,0.067
1992,-0.11,0.067
1993,-0.08,0.069
1994,-0.04,0.068
1995,0.01,0.066
1996,-0.05,0.063
1997,0.13,0.066
1998,0.22,0.069
1999,-0.01,0.067
2000,-0.01,0.067
2001,0.10,0.067
2002,0.15,0.065
2003,0.17,0.064
2004,0.15,0.061
2005,0.16,0.059
2006,0.14,0.055
2007,0.07,0.054
2008,0.04,0.053
2009,0.19,0.055
2010,0.20,0.053
2011,0.09,0.054
2012,0.16,0.060
2013,0.18,0.064
2014,0.29,0.062
2015,0.41,0.056
2016,0.43,0.053
2017,0.36,0.053
2018,0.33,0.054
2019,0.43,0.057
2020,0.42,0.058
2021,0.27,0.108
